hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H02,"H02|W=60;U=30|XT1800",XT1800,15680,NOINS,15243,21,-0.24447143935932214,-0.43052676661791806,0.10614708390736731,-0.2626233934304635,-0.22536422164986794,-0.2467551322146964,-0.2467219770119634,0.05681296332742898
H02,"H02|W=60;U=30|XT1800",XT1800,15680,L10,14291,21,-0.2251211448048811,-0.38757935844601,0.10216219998600518,-0.2449717752753544,-0.20349484148045494,-0.22743950220992643,-0.23152759182918242,0.05213071163669442
H02,"H02|W=60;U=30|XB",XB,15680,KILL,15531,21,-0.06840278558123697,-0.30097986169842295,0.24782692679157814,-0.07553049937267128,-0.06086340922988273,-0.06878100927447264,-0.0684022738020303,0.00914300431395274
H02,"H02|W=60;U=30|XB",XB,15680,PRIMARY,15243,21,-0.09475571253371973,-0.2367237700505336,0.24837630387718954,-0.10503881924858902,-0.08324811062325561,-0.09545292991548861,-0.09539872801151672,0.010562225283736798
H02,"H02|W=60;U=30|XB",XB,15680,NOINS,15243,21,-0.09746230579743173,-0.23832304158052742,0.246408187364692,-0.1077373148286516,-0.08601918769853727,-0.09815755060270087,-0.09811373871096343,0.010365413632487044
H02,"H02|W=60;U=30|XB",XB,15680,L10,14291,21,-0.09213873493855881,-0.16430316174303927,0.234833111748653,-0.10431632469566925,-0.07954931886081971,-0.09290709757981397,-0.09394304626983267,0.011125883423133441
H02,"H02|W=60;U=30|XR",XR,15680,KILL,15531,21,-0.05936157915750056,-0.17826663350082086,0.20269139141072692,-0.07135386308129328,-0.04677102996439327,-0.06109798777885674,-0.059360859636723926,0.028652372674006825
H02,"H02|W=60;U=30|XR",XR,15680,PRIMARY,15243,21,-0.1444828714816364,-0.22696839318715348,0.16263202781604671,-0.1578168650495479,-0.13086090390454355,-0.14622149611117563,-0.14521378367932677,0.028537689431214326
H02,"H02|W=60;U=30|XR",XR,15680,NOINS,15243,21,-0.14629697834346328,-0.22900336281273637,0.16138555402479826,-0.15967995039497107,-0.13257875409145511,-0.1480359600688549,-0.14703229120233371,0.028537689431214326
H02,"H02|W=60;U=30|XR",XR,15680,L10,14291,21,-0.1423085946730693,-0.19248552196412463,0.15716185011545727,-0.15510670800963816,-0.12866337850689216,-0.14426729468389674,-0.146457509824956,0.026660135749772586
H02,"H02|W=60;U=30|XG",XG,15680,KILL,15531,21,-0.14577232587294506,-0.30589046316103674,0.06567510141008306,-0.15790721591719561,-0.13344823258475697,-0.14784592340673958,-0.14577286863904812,0.011139012297984675
H02,"H02|W=60;U=30|XG",XG,15680,PRIMARY,15243,21,-0.19877768451052236,-0.310698268109665,0.06868726628616414,-0.21359552793035197,-0.18333917348427892,-0.20103335576817644,-0.19991158593829703,0.01830348356622712
H02,"H02|W=60;U=30|XG",XG,15680,NOINS,15243,21,-0.2004248490364312,-0.31060437540582386,0.06822803909991472,-0.215086026615335,-0.18509830941480704,-0.20268084378966694,-0.2015305898500794,0.017778652496227777
H02,"H02|W=60;U=30|XG",XG,15680,L10,14291,21,-0.1895098372671792,-0.28908498982623726,0.07256315163389546,-0.2025429152039593,-0.1751027454172745,-0.1917957093746029,-0.1951508870655871,0.02400111958575327
H02,"H02|W=60;U=60|XT60",XT60,8736,KILL,8648,21,-0.08405845589463107,-0.06080531814337595,0.37523126734505086,-0.09420878570543452,-0.07474293355635372,-0.0850663578858485,-0.08406281220419252,0.01006012950971323
H02,"H02|W=60;U=60|XT60",XT60,8736,PRIMARY,8467,21,-0.07571191984243449,-0.05096731805213307,0.38148104405338373,-0.08565061553387657,-0.06620688477447233,-0.0767633615526314,-0.07582076936054674,0.009212235738750444
H02,"H02|W=60;U=60|XT60",XT60,8736,NOINS,8467,21,-0.07796770327119228,-0.0543322420974667,0.37864650997992205,-0.08791620016865992,-0.06847559939946284,-0.07901902451681407,-0.07808745473371329,0.009094130152356206
H02,"H02|W=60;U=60|XT60",XT60,8736,L10,7883,21,-0.0715490803019135,-0.04933763580990007,0.35671698591906636,-0.08250952034334824,-0.05980228168151739,-0.07295148302751381,-0.07179734514020922,0.008753012812381073
H02,"H02|W=60;U=60|XT300",XT300,8736,KILL,8648,21,-0.17423685399256958,-0.35504772896870807,0.2253700277520814,-0.1956679808376989,-0.15121011781248955,-0.17647718188677308,-0.17423596458109344,0.03665587419056429
H02,"H02|W=60;U=60|XT300",XT300,8736,PRIMARY,8467,21,-0.16504972620167652,-0.3403640462398177,0.22664462029053975,-0.18689490842697226,-0.14212723439094485,-0.16737573239291365,-0.1668103088637149,0.035431675918270934
H02,"H02|W=60;U=60|XT300",XT300,8736,NOINS,8467,21,-0.16634385051348669,-0.3422682220447436,0.22629030353135704,-0.18820907286963848,-0.1434289777422272,-0.16867026038487945,-0.16810036224096062,0.035431675918270934
H02,"H02|W=60;U=60|XT300",XT300,8736,L10,7883,21,-0.1529167393775185,-0.29764675419902203,0.2173030572117214,-0.17560438530751357,-0.1294009357620035,-0.15605790230469646,-0.15848322698716227,0.032474946086515286
H02,"H02|W=60;U=60|XT1800",XT1800,8736,KILL,8648,21,-0.29543008198369336,-0.532961464603751,0.12049028677150786,-0.3178509640443415,-0.2681010895137583,-0.2981378861420077,-0.29542771865490475,0.07678075855689177
H02,"H02|W=60;U=60|XT1800",XT1800,8736,PRIMARY,8467,21,-0.28591684806492546,-0.5189691066885506,0.11928664225817881,-0.3098780768772837,-0.25703998238416975,-0.2887142488992362,-0.28819010117818417,0.07464273060115743
H02,"H02|W=60;U=60|XT1800",XT1800,8736,NOINS,8467,21,-0.2870394735874158,-0.5196840852445208,0.11916853667178458,-0.3109908152728328,-0.25808844912810736,-0.28983727230865713,-0.2893077374607171,0.07464273060115743
H02,"H02|W=60;U=60|XT1800",XT1800,8736,L10,7883,21,-0.26437121000820546,-0.46876540633653235,0.11556514017506025,-0.28990273013642076,-0.2345877304673676,-0.2677212992389601,-0.2717309410416033,0.07053152353165039
H02,"H02|W=60;U=60|XB",XB,8736,KILL,8648,21,-0.07018115131724374,-0.3028219392070046,0.27035152636447735,-0.08000901249872894,-0.05943331417228978,-0.07072833521822883,-0.07018345180820348,0.012604070305272896
H02,"H02|W=60;U=60|XB",XB,8736,PRIMARY,8467,21,-0.10750226238603924,-0.2705972696860996,0.26821778670131097,-0.12119643830814145,-0.09233271272765223,-0.10860624624310038,-0.10794552763698465,0.013818353608125665
H02,"H02|W=60;U=60|XB",XB,8736,NOINS,8467,21,-0.10938215945055914,-0.27094894063967556,0.2670367308373686,-0.12307145384595666,-0.09423260340933076,-0.11048289198964649,-0.10983133437212905,0.013700248021731427
H02,"H02|W=60;U=60|XB",XB,8736,L10,7883,21,-0.10641066710789573,-0.2165914822484546,0.25447164784980336,-0.12251764641125909,-0.0895488804446024,-0.10767536718998001,-0.1084872000987174,0.014334644171000888
H02,"H02|W=60;U=60|XR",XR,8736,KILL,8648,21,-0.0651846221994087,-0.21368160277843812,0.21577243293246995,-0.07862698423493217,-0.050989052776398695,-0.06750945244905514,-0.06518703206441637,0.03734967622571693
